"customer_key","customer_number","customer_name","age","age_group","customer_segment","recency","total_orders","total_sales","total_quantity","total_product","last_order","lifespan","avg_order_value","avg_monthly_spend"
79,AW00011078,Gina Martin,40.0,"40-49",NEW,137.0,17,912,31,23,2014-01-28,11.0,53,82.9090909090909
80,AW00011079,Donald Gonzalez,55.0,"50 and above",NEW,138.0,3,58,5,5,2014-01-01,9.0,19,6.444444444444445
81,AW00011080,Damien Chander,60.0,"50 and above",VIP,144.0,3,8204,7,7,2013-06-23,26.0,2734,315.53846153846155
82,AW00011081,Savannah Baker,53.0,"50 and above",NEW,146.0,2,104,5,5,2013-04-13,2.0,52,52.0
83,AW00011082,Angela Butler,53.0,"50 and above",NEW,139.0,2,3110,6,6,2013-11-06,9.0,1555,345.55555555555554
84,AW00011083,Alyssa Cox,48.0,"40-49",NEW,139.0,2,3137,5,5,2013-11-08,10.0,1568,313.7
85,AW00011084,Lucas Phillips,62.0,"50 and above",NEW,139.0,2,3078,5,5,2013-11-21,10.0,1539,307.8
86,AW00011085,Emily Johnson,62.0,"50 and above",NEW,137.0,2,129,5,5,2014-01-08,1.0,64,129.0
87,AW00011086,Ryan Brown,62.0,"50 and above",NEW,138.0,2,153,6,6,2013-12-21,5.0,76,30.6
88,AW00011087,Tamara Liang,62.0,"50 and above",NEW,142.0,2,200,4,4,2013-08-09,5.0,100,40.0
89,AW00011088,Hunter Davis,62.0,"50 and above",NEW,139.0,2,3176,7,7,2013-11-12,9.0,1588,352.8888888888889
90,AW00011089,Abigail Price,62.0,"50 and above",NEW,139.0,2,3188,7,7,2013-11-18,10.0,1594,318.8
91,AW00011090,Trevor Bryant,56.0,"50 and above",VIP,139.0,3,6703,6,6,2013-11-21,27.0,2234,248.25925925925927
92,AW00011091,Dalton Perez,62.0,"50 and above",NEW,137.0,28,1186,59,25,2014-01-08,11.0,42,107.81818181818181
93,AW00011092,Cheryl Diaz,52.0,"50 and above",VIP,144.0,3,8110,5,5,2013-06-21,26.0,2703,311.9230769230769
94,AW00011093,Aimee He,46.0,"40-49",VIP,144.0,3,8180,7,7,2013-06-08,26.0,2726,314.61538461538464
95,AW00011094,Cedric Ma,57.0,"50 and above",NEW,137.0,3,236,8,8,2014-01-11,9.0,78,26.22222222222222
96,AW00011095,Chad Kumar,57.0,"50 and above",VIP,144.0,3,8158,7,7,2013-06-25,26.0,2719,313.7692307692308
97,AW00011096,Andr├®s Anand,57.0,"50 and above",VIP,143.0,3,8063,4,4,2013-07-30,27.0,2687,298.6296296296296
98,AW00011097,Edwin Nara,52.0,"50 and above",VIP,143.0,3,8099,5,5,2013-07-24,27.0,2699,299.962962962963
99,AW00011098,Mallory Rubio,58.0,"50 and above",NEW,140.0,3,89,4,4,2013-10-16,8.0,29,11.125
100,AW00011099,Adam Ross,58.0,"50 and above",VIP,144.0,3,8216,9,8,2013-07-01,26.0,2738,316.0
101,AW00011100,Latasha Navarro,59.0,"50 and above",VIP,142.0,3,8172,7,7,2013-08-07,27.0,2724,302.6666666666667
102,AW00011101,Abby Sai,54.0,"50 and above",VIP,144.0,3,8262,7,7,2013-06-29,26.0,2754,317.7692307692308
103,AW00011102,Julia Nelson,54.0,"50 and above",NEW,138.0,3,103,5,5,2013-12-09,4.0,34,25.75
104,AW00011103,Cassie Chande,44.0,"40-49",VIP,144.0,3,8182,8,8,2013-06-06,25.0,2727,327.28
105,AW00011104,Edgar Sara,50.0,"50 and above",VIP,144.0,3,8173,6,6,2013-06-15,25.0,2724,326.92
106,AW00011105,Candace Fernandez,55.0,"50 and above",VIP,144.0,3,8096,5,5,2013-06-05,24.0,2698,337.3333333333333
107,AW00011106,Jessie Liu,55.0,"50 and above",VIP,144.0,3,8079,3,3,2013-06-15,24.0,2693,336.625
108,AW00011107,Bianca Lin,49.0,"40-49",VIP,144.0,3,8171,6,6,2013-06-21,25.0,2723,326.84
109,AW00011108,Kari Alvarez,56.0,"50 and above",VIP,144.0,3,8124,5,5,2013-06-23,25.0,2708,324.96
110,AW00011109,Ruben Kapoor,45.0,"40-49",VIP,144.0,3,8245,8,8,2013-06-24,25.0,2748,329.8
111,AW00011110,Curtis Yang,57.0,"50 and above",VIP,142.0,3,8093,5,5,2013-08-20,27.0,2697,299.74074074074076
112,AW00011111,Meredith Gutierrez,57.0,"50 and above",VIP,142.0,3,8137,8,8,2013-08-22,27.0,2712,301.3703703703704
113,AW00011112,Crystal Wang,57.0,"50 and above",VIP,142.0,3,8295,6,6,2013-09-02,27.0,2765,307.22222222222223
114,AW00011113,Micheal Blanco,52.0,"50 and above",NEW,146.0,3,110,7,7,2013-04-21,2.0,36,55.0
115,AW00011114,Leslie Moreno,57.0,"50 and above",NEW,138.0,3,123,7,6,2013-12-26,9.0,41,13.666666666666666
116,AW00011115,Alvin Cai,57.0,"50 and above",NEW,138.0,3,114,6,6,2014-01-02,10.0,38,11.4
117,AW00011116,Clinton Carlson,46.0,"40-49",NEW,140.0,3,149,7,7,2013-10-16,7.0,49,21.285714285714285
118,AW00011117,April Deng,58.0,"50 and above",VIP,144.0,3,8185,8,8,2013-06-25,25.0,2728,327.4
119,AW00011118,Alvin Zeng,62.0,"50 and above",NEW,137.0,3,124,8,6,2014-01-26,6.0,41,20.666666666666668
120,AW00011119,Evan James,84.0,"50 and above",NEW,139.0,2,85,4,4,2013-11-23,9.0,42,9.444444444444445
121,AW00011120,Beth Jim├®nez,83.0,"50 and above",VIP,141.0,3,8242,10,10,2013-09-19,28.0,2747,294.35714285714283
122,AW00011121,Orlando Suarez,59.0,"50 and above",NEW,139.0,3,58,6,5,2013-11-04,4.0,19,14.5
123,AW00011122,Byron Vazquez,59.0,"50 and above",NEW,142.0,3,43,3,3,2013-08-22,6.0,14,7.166666666666667
124,AW00011123,Philip Alvarez,59.0,"50 and above",NEW,137.0,3,150,8,7,2014-01-25,9.0,50,16.666666666666668
125,AW00011124,Ross Jordan,56.0,"50 and above",VIP,144.0,3,8129,6,6,2013-06-18,25.0,2709,325.16
126,AW00011125,Dana Navarro,63.0,"50 and above",NEW,143.0,3,79,7,7,2013-07-03,5.0,26,15.8
127,AW00011126,Shaun Carson,70.0,"50 and above",Regular,139.0,3,4971,8,7,2013-11-03,29.0,1657,171.41379310344828
128,AW00011127,Jan Edwards,44.0,"40-49",NEW,141.0,2,44,3,3,2013-10-01,5.0,22,8.8
129,AW00011128,Samantha Long,44.0,"40-49",NEW,142.0,2,144,7,7,2013-08-12,1.0,72,144.0
130,AW00011129,Julia Wright,44.0,"40-49",VIP,149.0,2,5873,2,2,2013-01-09,17.0,2936,345.47058823529414
131,AW00011130,Caroline Russell,39.0,"30-39",NEW,138.0,1,37,2,2,2013-12-09,0.0,37,37.0
132,AW00011131,Amanda Rivera,39.0,"30-39",NEW,137.0,5,166,9,9,2014-01-23,3.0,33,55.333333333333336
133,AW00011132,Melissa Richardson,39.0,"30-39",NEW,146.0,1,2372,6,6,2013-04-09,0.0,2372,2372.0
134,AW00011133,Angela Griffin,39.0,"30-39",NEW,138.0,1,72,4,4,2013-12-30,0.0,72,72.0
135,AW00011134,Larry Townsend,68.0,"50 and above",Regular,139.0,3,4911,3,3,2013-11-03,30.0,1637,163.7
136,AW00011135,Marcus Harris,40.0,"40-49",NEW,146.0,1,2335,3,3,2013-04-18,0.0,2335,2335.0
137,AW00011136,Brianna Morgan,41.0,"40-49",NEW,149.0,1,2381,3,3,2013-01-03,0.0,2381,2381.0
138,AW00011137,Jasmine Taylor,41.0,"40-49",NEW,137.0,2,202,5,4,2014-01-20,5.0,101,40.4
139,AW00011138,Lauren Davis,41.0,"40-49",NEW,138.0,2,79,4,4,2013-12-31,3.0,39,26.333333333333332
140,AW00011139,Tanya Moreno,75.0,"50 and above",NEW,140.0,2,84,3,3,2013-10-17,1.0,42,84.0
141,AW00011140,Javier Alvarez,42.0,"40-49",NEW,147.0,1,40,2,2,2013-03-19,0.0,40,40.0
142,AW00011141,Nicole Ramirez,42.0,"40-49",NEW,141.0,2,114,5,5,2013-09-28,4.0,57,28.5
143,AW00011142,Eduardo Patterson,42.0,"40-49",NEW,137.0,17,979,36,23,2014-01-13,11.0,57,89.0
144,AW00011143,Jonathan Henderson,42.0,"40-49",NEW,138.0,2,48,5,4,2013-12-19,6.0,24,8.0
145,AW00011144,Edward Hernandez,40.0,"40-49",NEW,149.0,1,2400,3,3,2013-01-25,0.0,2400,2400.0
146,AW00011145,Jasmine Coleman,40.0,"40-49",NEW,149.0,1,2310,3,3,2013-01-25,0.0,2310,2310.0
147,AW00011146,Karla Goel,80.0,"50 and above",NEW,141.0,3,113,7,6,2013-09-15,7.0,37,16.142857142857142
148,AW00011147,Ernest Wu,80.0,"50 and above",VIP,140.0,3,8195,7,7,2013-10-16,29.0,2731,282.58620689655174
149,AW00011148,Ross Vazquez,78.0,"50 and above",NEW,138.0,3,126,6,5,2013-12-03,8.0,42,15.75
150,AW00011149,Theodore Gill,78.0,"50 and above",NEW,139.0,3,41,4,4,2013-11-29,5.0,13,8.2
151,AW00011150,Russell Shen,78.0,"50 and above",NEW,143.0,3,192,8,7,2013-07-15,3.0,64,64.0
152,AW00011151,Melinda Gill,77.0,"50 and above",VIP,140.0,3,8087,6,6,2013-10-20,29.0,2695,278.86206896551727
153,AW00011152,James Williams,43.0,"40-49",NEW,149.0,1,2295,1,1,2013-01-09,0.0,2295,2295.0
154,AW00011153,Angela James,43.0,"40-49",NEW,147.0,2,110,5,5,2013-03-29,0.0,55,110.0
155,AW00011154,Megan Walker,43.0,"40-49",NEW,149.0,1,2320,1,1,2013-01-10,0.0,2320,2320.0
156,AW00011155,Hunter Robinson,43.0,"40-49",NEW,149.0,1,2320,1,1,2013-01-06,0.0,2320,2320.0
157,AW00011156,Maria Roberts,43.0,"40-49",NEW,149.0,1,2390,4,4,2013-01-08,0.0,2390,2390.0
158,AW00011157,Hannah Long,44.0,"40-49",NEW,141.0,2,41,3,3,2013-09-11,1.0,20,41.0
159,AW00011158,Jason Wright,44.0,"40-49",NEW,149.0,1,2396,3,3,2013-01-19,0.0,2396,2396.0
160,AW00011159,Brianna Hughes,44.0,"40-49",NEW,139.0,2,48,5,4,2013-11-07,1.0,24,48.0
161,AW00011160,Maurice Tang,45.0,"40-49",NEW,148.0,1,2322,2,2,2013-02-21,0.0,2322,2322.0
162,AW00011161,Emily Wood,45.0,"40-49",NEW,139.0,2,94,6,6,2013-11-11,5.0,47,18.8
163,AW00011162,Chase Cox,45.0,"40-49",NEW,148.0,1,2330,2,2,2013-02-18,0.0,2330,2330.0
164,AW00011163,Gabriel Wang,45.0,"40-49",NEW,142.0,2,46,4,4,2013-08-05,3.0,23,15.333333333333334
165,AW00011164,Devin Brooks,45.0,"40-49",NEW,142.0,2,145,6,6,2013-08-05,3.0,72,48.333333333333336
166,AW00011165,Jocelyn Alexander,46.0,"40-49",NEW,144.0,2,103,3,3,2013-06-05,0.0,51,103.0
167,AW00011166,Ashley Martinez,47.0,"40-49",NEW,138.0,2,88,5,5,2013-12-06,1.0,44,88.0
168,AW00011167,Jasmine Barnes,47.0,"40-49",NEW,139.0,2,3126,4,4,2013-11-28,10.0,1563,312.6
169,AW00011168,David Rodriguez,51.0,"50 and above",NEW,139.0,2,3136,7,7,2013-11-16,10.0,1568,313.6
170,AW00011169,Bryce Richardson,51.0,"50 and above",NEW,141.0,2,81,5,5,2013-09-24,3.0,40,27.0
171,AW00011170,Carol Howard,51.0,"50 and above",NEW,138.0,2,157,7,7,2013-12-29,4.0,78,39.25
172,AW00011171,Jonathan Hill,46.0,"40-49",VIP,139.0,3,6716,8,8,2013-11-07,26.0,2238,258.3076923076923
173,AW00011172,Gabrielle Adams,52.0,"50 and above",NEW,137.0,2,129,7,6,2014-01-11,8.0,64,16.125
174,AW00011173,Sarah Thomas,52.0,"50 and above",NEW,138.0,2,103,3,3,2013-12-24,9.0,51,11.444444444444445
175,AW00011174,Nicholas Robinson,52.0,"50 and above",NEW,143.0,2,48,5,4,2013-07-25,0.0,24,48.0
176,AW00011175,Luis Wang,56.0,"50 and above",VIP,139.0,3,6710,8,8,2013-11-03,26.0,2236,258.0769230769231
177,AW00011176,Mason Roberts,46.0,"40-49",NEW,137.0,28,1317,60,27,2014-01-27,11.0,47,119.72727272727273
178,AW00011177,Jose Flores,77.0,"50 and above",NEW,140.0,2,135,6,6,2013-10-14,6.0,67,22.5
179,AW00011178,Nathan Johnson,70.0,"50 and above",NEW,145.0,2,145,6,6,2013-05-26,3.0,72,48.333333333333336
180,AW00011179,Molly Rodriguez,65.0,"50 and above",NEW,137.0,2,125,6,6,2014-01-09,9.0,62,13.88888888888889
181,AW00011180,April Anand,77.0,"50 and above",NEW,141.0,2,138,6,6,2013-09-25,6.0,69,23.0
182,AW00011181,Devin Martin,65.0,"50 and above",NEW,143.0,2,41,3,3,2013-07-11,2.0,20,20.5
183,AW00011182,Stephanie Torres,75.0,"50 and above",NEW,137.0,2,81,5,5,2014-01-05,4.0,40,20.25
184,AW00011183,Jasmine Lee,75.0,"50 and above",NEW,144.0,2,46,4,4,2013-06-13,1.0,23,46.0
185,AW00011184,Meghan Hernandez,69.0,"50 and above",NEW,140.0,2,68,5,5,2013-10-09,1.0,34,68.0
186,AW00011185,Ashley Henderson,75.0,"50 and above",NEW,137.0,27,1616,68,29,2014-01-26,11.0,59,146.9090909090909
187,AW00011186,Sarah Price,75.0,"50 and above",NEW,137.0,2,41,3,3,2014-01-07,2.0,20,20.5
188,AW00011187,Jennifer Cooper,75.0,"50 and above",NEW,142.0,2,108,4,4,2013-08-06,4.0,54,27.0
189,AW00011188,Catherine Morris,75.0,"50 and above",NEW,137.0,2,81,5,5,2014-01-21,2.0,40,40.5
190,AW00011189,Lawrence Blanco,75.0,"50 and above",VIP,148.0,2,5944,6,6,2013-02-05,17.0,2972,349.6470588235294
191,AW00011190,Carson Bryant,75.0,"50 and above",NEW,137.0,2,46,4,4,2014-01-16,4.0,23,11.5
192,AW00011191,Kristi Perez,74.0,"50 and above",VIP,139.0,3,6743,7,7,2013-11-06,26.0,2247,259.34615384615387
193,AW00011192,James Brown,74.0,"50 and above",NEW,141.0,2,114,5,5,2013-09-25,3.0,57,38.0
194,AW00011193,Ian Gray,74.0,"50 and above",NEW,142.0,2,41,3,3,2013-08-18,5.0,20,8.2
195,AW00011194,Jacqueline Price,74.0,"50 and above",NEW,138.0,2,105,6,6,2013-12-08,8.0,52,13.125
196,AW00011195,Megan Henderson,73.0,"50 and above",NEW,140.0,2,105,6,6,2013-10-22,6.0,52,17.5
197,AW00011196,Alfredo Romero,73.0,"50 and above",NEW,141.0,2,162,4,4,2013-09-24,6.0,81,27.0
198,AW00011197,Andrea Morris,73.0,"50 and above",NEW,143.0,2,207,6,5,2013-07-20,2.0,103,103.5
199,AW00011198,Brooke Sanders,73.0,"50 and above",NEW,148.0,2,98,4,4,2013-02-13,0.0,49,98.0
200,AW00011199,Jacqueline Bennett,67.0,"50 and above",NEW,140.0,2,132,6,6,2013-10-17,6.0,66,22.0
201,AW00011200,Jason Griffin,72.0,"50 and above",NEW,137.0,27,1461,55,26,2014-01-20,11.0,54,132.8181818181818
202,AW00011201,Amanda Foster,72.0,"50 and above",NEW,141.0,2,181,6,6,2013-09-09,2.0,90,90.5
203,AW00011202,Alexia Price,66.0,"50 and above",NEW,141.0,2,74,3,3,2013-09-21,0.0,37,74.0
204,AW00011203,Luis Diaz,65.0,"50 and above",NEW,138.0,17,800,32,19,2013-12-11,9.0,47,88.88888888888889
205,AW00011204,Destiny Rivera,71.0,"50 and above",NEW,139.0,2,77,4,4,2013-11-10,3.0,38,25.666666666666668
206,AW00011205,Abby Fernandez,71.0,"50 and above",NEW,140.0,2,37,2,2,2013-10-08,2.0,18,18.5
207,AW00011206,Blake Flores,71.0,"50 and above",NEW,145.0,2,77,4,4,2013-05-30,0.0,38,77.0
208,AW00011207,Danielle Cox,71.0,"50 and above",NEW,140.0,2,77,4,4,2013-10-18,8.0,38,9.625
209,AW00011208,Maria Reed,71.0,"50 and above",NEW,141.0,2,134,7,7,2013-09-17,6.0,67,22.333333333333332
210,AW00011209,Allison Evans,71.0,"50 and above",NEW,137.0,2,37,2,2,2014-01-22,9.0,18,4.111111111111111
211,AW00011210,Edward Wood,71.0,"50 and above",NEW,141.0,2,70,5,5,2013-09-06,4.0,35,17.5
212,AW00011211,Samantha Russell,64.0,"50 and above",NEW,137.0,17,792,33,22,2014-01-07,11.0,46,72.0
213,AW00011212,Chloe Campbell,70.0,"50 and above",NEW,137.0,17,824,33,20,2014-01-17,11.0,48,74.9090909090909
214,AW00011213,Stephanie Murphy,70.0,"50 and above",NEW,141.0,2,77,4,4,2013-09-09,5.0,38,15.4
215,AW00011214,Charles Miller,70.0,"50 and above",NEW,139.0,2,162,4,4,2013-11-19,3.0,81,54.0
216,AW00011215,Ana Perry,64.0,"50 and above",NEW,138.0,17,1154,32,21,2013-12-15,10.0,67,115.4
217,AW00011216,Jasmine Torres,69.0,"50 and above",VIP,148.0,2,5948,5,5,2013-02-05,17.0,2974,349.88235294117646
218,AW00011217,Natalie Adams,69.0,"50 and above",VIP,148.0,2,5953,3,3,2013-02-14,18.0,2976,330.72222222222223
219,AW00011218,Olivia Brown,63.0,"50 and above",NEW,137.0,2,39,3,2,2014-01-04,10.0,19,3.9
220,AW00011219,Charles Cook,69.0,"50 and above",NEW,137.0,2,39,3,2,2014-01-24,2.0,19,19.5
221,AW00011220,Erica Huang,64.0,"50 and above",NEW,138.0,2,50,4,4,2013-12-13,8.0,25,6.25
222,AW00011221,Nathan Perry,69.0,"50 and above",NEW,140.0,2,46,4,4,2013-10-17,6.0,23,7.666666666666667
223,AW00011222,Alexandra Rivera,69.0,"50 and above",NEW,139.0,2,208,6,6,2013-11-28,0.0,104,208.0
224,AW00011223,Hailey Patterson,68.0,"50 and above",NEW,137.0,27,1293,65,26,2014-01-06,11.0,47,117.54545454545455
